country,year,disease,average
Nauru,2008,Cardiovascular disease,1.479194
Nauru,2008,Respiratory disease,1.1572734
Nepal,2008,Cancer,0.6396895
Nepal,2008,Cardiovascular disease,0.47600362
Nepal,2008,Respiratory disease,0.65964586
Netherlands,2008,Cancer,0.5929706
Netherlands,2008,Cardiovascular disease,0.13137017
Netherlands,2008,Respiratory disease,0.13887282
New Zealand,2008,Cancer,0.4923453
New Zealand,2008,Cardiovascular disease,0.15525566
New Zealand,2008,Respiratory disease,0.16201828
Nicaragua,2008,Cancer,0.44562638
Nicaragua,2008,Cardiovascular disease,0.3924044
Nicaragua,2008,Respiratory disease,0.24302743
Niger,2008,Cancer,0.4635952
Niger,2008,Cardiovascular disease,0.4197021
Niger,2008,Respiratory disease,0.65964586
Nigeria,2008,Cancer,0.5318767
Nigeria,2008,Cardiovascular disease,0.643202
Nigeria,2008,Respiratory disease,1.0415461
Niue,2008,Cancer,0.33421978
Niue,2008,Cardiovascular disease,0.5067135
Niue,2008,Respiratory disease,0.47448212
Norway,2008,Cancer,0.49593905
Norway,2008,Cardiovascular disease,0.12625186
Norway,2008,Respiratory disease,0.17359102
Oman,2008,Cancer,0.42406383
Oman,2008,Cardiovascular disease,0.8598775
Oman,2008,Respiratory disease,0.21988195
Pakistan,2008,Cancer,0.5462517
Pakistan,2008,Cardiovascular disease,0.61590433
Pakistan,2008,Respiratory disease,0.9952552
Palau,2008,Cancer,0.47078273
Palau,2008,Cardiovascular disease,0.66026306
Palau,2008,Respiratory disease,0.5786367
Panama,2008,Cancer,0.39171997
Panama,2008,Cardiovascular disease,0.23544265
Panama,2008,Respiratory disease,0.17359102
Papua New Guinea,2008,Cancer,0.6037519
Papua New Guinea,2008,Cardiovascular disease,0.6653814
Papua New Guinea,2008,Respiratory disease,0.92581874
Paraguay,2008,Cancer,0.48515776
Paraguay,2008,Cardiovascular disease,0.36681283
Paraguay,2008,Respiratory disease,0.13887282
Peru,2008,Cancer,0.46718895
Peru,2008,Cardiovascular disease,0.14672513
Peru,2008,Respiratory disease,0.17359102
Philippines,2008,Cancer,0.48156402
Philippines,2008,Cardiovascular disease,0.61761045
Philippines,2008,Respiratory disease,0.5902095
Poland,2008,Cancer,0.78703374
Poland,2008,Cardiovascular disease,0.37363726
Poland,2008,Respiratory disease,0.16201828
Portugal,2008,Cancer,0.5785956
Portugal,2008,Cardiovascular disease,0.14843124
Portugal,2008,Respiratory disease,0.12730008
Qatar,2008,Cancer,0.33421978
Qatar,2008,Cardiovascular disease,0.18596557
Qatar,2008,Respiratory disease,0.092581876
Republic of Korea,2008,Cancer,0.47797024
Republic of Korea,2008,Cardiovascular disease,0.14501902
Republic of Korea,2008,Respiratory disease,0.092581876
Republic of Moldova,2008,Cancer,0.7331273
Republic of Moldova,2008,Cardiovascular disease,0.68414855
Republic of Moldova,2008,Respiratory disease,0.33560932
Romania,2008,Cancer,0.72593975
Romania,2008,Cardiovascular disease,0.4777097
Romania,2008,Respiratory disease,0.19673648
Russian Federation,2008,Cancer,0.64687705
Russian Federation,2008,Cardiovascular disease,0.8820569
Russian Federation,2008,Respiratory disease,0.24302743
Rwanda,2008,Cancer,0.5678143
Rwanda,2008,Cardiovascular disease,0.4947708
Rwanda,2008,Respiratory disease,0.78694594
Saint Kitts and Nevis,2008,Cancer,0.5534392
Saint Kitts and Nevis,2008,Cardiovascular disease,0.37022504
Saint Kitts and Nevis,2008,Respiratory disease,0.06943641
Saint Lucia,2008,Cancer,0.5067203
Saint Lucia,2008,Cardiovascular disease,0.45553035
Saint Lucia,2008,Respiratory disease,0.2661729
Saint Vincent and the Grenadines,2008,Cancer,0.5067203
Saint Vincent and the Grenadines,2008,Cardiovascular disease,0.41799602
Saint Vincent and the Grenadines,2008,Respiratory disease,0.24302743
Samoa,2008,Cancer,0.2767196
Samoa,2008,Cardiovascular disease,0.65002644
Samoa,2008,Respiratory disease,0.5902095
San Marino,2008,Cancer,0.38812622
San Marino,2008,Cardiovascular disease,0.14672513
San Marino,2008,Respiratory disease,0.023145469
Sao Tome and Principe,2008,Cancer,0.60734564
Sao Tome and Principe,2008,Cardiovascular disease,0.3122174
Sao Tome and Principe,2008,Respiratory disease,0.46290937
Saudi Arabia,2008,Cancer,0.29109466
Saudi Arabia,2008,Cardiovascular disease,0.68414855
Saudi Arabia,2008,Respiratory disease,0.17359102
Senegal,2008,Cancer,0.5462517
Senegal,2008,Cardiovascular disease,0.52377456
Senegal,2008,Respiratory disease,0.84480965
Serbia,2008,Cancer,0.84812766
Serbia,2008,Cardiovascular disease,0.4674731
Serbia,2008,Respiratory disease,0.21988195
Seychelles,2008,Cancer,0.71515846
Seychelles,2008,Cardiovascular disease,0.45211813
Seychelles,2008,Respiratory disease,0.3703275
Sierra Leone,2008,Cancer,0.47797024
Sierra Leone,2008,Cardiovascular disease,0.6534386
Sierra Leone,2008,Respiratory disease,1.0646915
Singapore,2008,Cancer,0.45281392
Singapore,2008,Cardiovascular disease,0.1962022
Singapore,2008,Respiratory disease,0.092581876
Slovakia,2008,Cancer,0.71875226
Slovakia,2008,Cardiovascular disease,0.3821678
Slovakia,2008,Respiratory disease,0.15044555
Slovenia,2008,Cancer,0.63250196
Slovenia,2008,Cardiovascular disease,0.16378619
Slovenia,2008,Respiratory disease,0.06943641
Solomon Islands,2008,Cancer,0.44562638
Solomon Islands,2008,Cardiovascular disease,0.5254807
Solomon Islands,2008,Respiratory disease,0.48605487
Somalia,2008,Cancer,0.53906417
Somalia,2008,Cardiovascular disease,0.92812175
Somalia,2008,Respiratory disease,0.82166415
South Africa,2008,Cancer,0.69359595
South Africa,2008,Cardiovascular disease,0.52377456
South Africa,2008,Respiratory disease,0.78694594
Spain,2008,Cancer,0.50312656
Spain,2008,Cardiovascular disease,0.11601522
Spain,2008,Respiratory disease,0.16201828
Sri Lanka,2008,Cancer,0.46718895
Sri Lanka,2008,Cardiovascular disease,0.36510673
Sri Lanka,2008,Respiratory disease,0.54391855
Sudan,2008,Cancer,0.35937613
